#eta,etabin,lut,func
1,0,228,229.213
-25,6,228,228.113
-23,5,24,24.5549
1,0,228,229.213
-25,6,228,228.113
-23,5,24,24.5549
22,5,199,199.612
22,5,87,88.0887
28,6,30,31.9654
14,3,24,24.7081
-6,1,30,30.732
14,3,24,24.7081
22,5,199,199.612
22,5,87,88.0887
28,6,30,31.9654
-6,1,30,30.732
-8,1,190,190.942
-3,0,181,183.251
-3,0,181,183.251
-8,1,190,190.942
10,2,407,406.8
27,6,91,91.918
-15,3,262,263.661
-32,7,67,68.3808
-20,4,29,29.123
-13,3,28,28.8262
-4,0,17,16.6486
10,2,407,406.8
27,6,91,91.918
-13,3,28,28.8262
-15,3,262,263.661
-32,7,67,68.3808
-4,0,17,16.6486
-20,4,29,29.123
20,4,790,758.218
4,0,242,242.362
28,6,34,35.5171
-21,5,979,946.093
-6,1,195,196.142
-26,6,161,162.399
4,0,242,242.362
20,4,790,758.218
28,6,34,35.5171
-21,5,979,946.093
-6,1,195,196.142
-26,6,161,162.399
13,3,378,379.554
29,7,160,160.98
24,5,117,118.368
23,5,62,63.4334
7,1,50,51.22
-21,5,72,73.6646
-2,0,57,58.2702
-10,2,30,30.5713
13,3,378,379.554
29,7,160,160.98
7,1,50,51.22
23,5,62,63.4334
24,5,117,118.368
-21,5,72,73.6646
-2,0,57,58.2702
-10,2,30,30.5713
20,4,1840,1777.32
3,0,1753,1713.62
28,6,97,98.3696
6,1,26,26.6344
8,1,22,22.5368
-24,5,50,51.156
6,1,26,26.6344
3,0,1753,1713.62
8,1,22,22.5368
20,4,1840,1777.32
28,6,97,98.3696
-24,5,50,51.156
5,1,131,131.757
33,8,58,61.2578
16,3,76,78.2424
8,1,22,22.5368
5,1,131,131.757
8,1,22,22.5368
16,3,76,78.2424
33,8,58,61.2578
17,4,61,62.4065
9,2,34,34.6475
-27,6,578,578.453
-11,2,481,480.128
-23,5,60,61.3872
9,2,34,34.6475
17,4,61,62.4065
-11,2,481,480.128
-23,5,60,61.3872
-27,6,578,578.453
11,2,1469,1399.53
1,0,57,58.2702
28,6,44,46.1722
29,7,24,25.6428
12,2,16,16.3047
5,1,10,10.244
-17,4,886,843.738
-23,5,484,483.782
-28,6,60,62.1549
-7,1,28,28.6832
-5,1,24,24.5856
1,0,57,58.2702
5,1,10,10.244
29,7,24,25.6428
11,2,1469,1399.53
12,2,16,16.3047
28,6,44,46.1722
-5,1,24,24.5856
-17,4,886,843.738
-7,1,28,28.6832
-23,5,484,483.782
-28,6,60,62.1549
1,0,11,10.4054
-2,0,580,580.846
-18,4,556,556.724
-13,3,145,146.01
-8,1,76,77.8544
-25,6,39,40.8446
-4,0,25,24.9729
1,0,11,10.4054
-13,3,145,146.01
-25,6,39,40.8446
-2,0,580,580.846
-18,4,17,16.6417
-18,4,556,556.724
-4,0,25,24.9729
-8,1,76,77.8544
15,3,258,259.393
-16,3,227,227.321
15,3,258,259.393
-16,3,227,227.321
13,3,18,18.5311
-19,4,855,816.538
-9,2,519,517.896
-1,0,291,292.793
13,3,18,18.5311
-1,0,291,292.793
-9,2,519,517.896
-19,4,855,816.538
12,2,375,375.356
26,6,158,158.914
6,1,132,132.885
10,2,48,48.9141
20,4,39,39.5241
-9,2,400,399.441
-31,7,44,45.5872
-2,0,31,31.2162
-14,3,1,2.05901
6,1,132,132.885
10,2,48,48.9141
26,6,158,158.914
12,2,375,375.356
20,4,39,39.5241
-9,2,400,399.441
-2,0,31,31.2162
-14,3,1,2.05901
-31,7,44,45.5872
5,1,78,79.9032
-26,6,80,81.6893
5,1,78,79.9032
-26,6,80,81.6893
24,5,72,73.6646
-3,0,124,125.495
-10,2,56,57.0664
24,5,72,73.6646
-10,2,56,57.0664
-3,0,124,125.495
-13,3,236,236.96
-18,4,140,141.943
-13,3,117,118.822
-13,3,117,118.822
-13,3,236,236.96
-18,4,140,141.943
32,7,187,188.047
23,5,157,157.796
31,7,81,82.6268
28,6,66,67.4824
16,3,24,24.7081
-16,3,36,37.0622
31,7,81,82.6268
23,5,157,157.796
32,7,187,188.047
16,3,24,24.7081
28,6,66,67.4824
-16,3,36,37.0622
6,1,372,372.094
16,3,280,281.798
22,5,93,94.6625
8,1,66,67.6104
16,3,52,53.5343
8,1,24,24.5856
-4,0,774,755.976
-18,4,315,315.906
-16,3,257,258.326
6,1,372,372.094
22,5,93,94.6625
8,1,24,24.5856
8,1,66,67.6104
16,3,52,53.5343
16,3,280,281.798
-18,4,315,315.906
-4,0,774,755.976
-16,3,257,258.326
13,3,398,399.124
6,1,199,200.29
7,1,58,59.4152
9,2,14,14.2666
-5,1,32,32.7808
9,2,14,14.2666
13,3,398,399.124
6,1,199,200.29
7,1,58,59.4152
-5,1,32,32.7808
9,2,1381,1313.02
1,0,242,242.362
-23,5,1218,1173.24
1,0,242,242.362
9,2,1381,1313.02
-23,5,1218,1173.24
10,2,2747,2766.16
10,2,42,42.7998
4,0,31,31.2162
-8,1,1815,1760.17
-29,7,48,49.861
-25,6,53,55.0515
-26,6,37,39.0688
-19,4,41,41.6043
-10,2,32,32.6094
10,2,42,42.7998
10,2,2747,2766.16
4,0,31,31.2162
-25,6,53,55.0515
-29,7,48,49.861
-2,0,9,8.32431
-10,2,32,32.6094
-26,6,37,39.0688
-19,4,41,41.6043
-8,1,1815,1760.17
10,2,642,634.718
23,5,84,84.0543
8,1,81,81.952
25,6,58,60.379
29,7,41,42.738
14,3,40,41.1802
-8,1,409,409.318
-1,0,262,262.545
-4,0,113,114.06
-10,2,106,107.577
-5,1,76,77.8544
-28,6,43,44.3963
25,6,58,60.379
29,7,41,42.738
10,2,642,634.718
14,3,40,41.1802
23,5,84,84.0543
8,1,81,81.952
-1,0,262,262.545
-5,1,76,77.8544
-10,2,106,107.577
-10,2,30,30.5713
-22,5,40,40.9248
-4,0,113,114.06
-8,1,409,409.318
-28,6,43,44.3963
3,0,35,35.3783
18,4,31,31.2032
-6,1,766,743.249
-1,0,653,646.097
-3,0,41,41.6215
18,4,31,31.2032
3,0,35,35.3783
-1,0,653,646.097
-6,1,766,743.249
-3,0,41,41.6215
5,1,1648,1588.44
1,0,993,959.462
4,0,780,761.474
33,8,28,29.9166
10,2,4,4.07617
-12,2,32,32.6094
1,0,993,959.462
5,1,1648,1588.44
10,2,4,4.07617
4,0,780,761.474
33,8,28,29.9166
-12,2,32,32.6094
14,3,62,63.8294
8,1,36,36.8784
14,3,62,63.8294
8,1,36,36.8784
2,0,51,52.0269
4,0,33,33.2972
-20,4,621,612.987
-16,3,397,398.035
-15,3,316,317.069
-25,6,158,158.914
-19,4,152,153.657
-10,2,78,79.4854
2,0,51,52.0269
4,0,33,33.2972
-25,6,158,158.914
-10,2,78,79.4854
-15,3,316,317.069
-19,4,152,153.657
-16,3,397,398.035
-20,4,621,612.987
16,3,16,16.4721
-25,6,287,287.695
-19,4,137,138.698
-29,7,62,64.107
16,3,16,16.4721
-25,6,287,287.695
-29,7,62,64.107
-19,4,137,138.698
2,0,1925,1892.38
24,5,159,160.041
4,0,59,60.3512
-9,2,1260,1196.08
2,0,1925,1892.38
4,0,59,60.3512
24,5,159,160.041
-9,2,1260,1196.08
22,5,273,274.201
2,0,23,22.8918
-15,3,272,273.262
-31,7,95,96.8728
-5,1,18,18.4392
2,0,23,22.8918
22,5,273,274.201
-5,1,18,18.4392
-31,7,95,96.8728
-15,3,272,273.262
21,5,624,622.508
-28,6,346,347.713
-5,1,159,160.319
21,5,624,622.508
-5,1,159,160.319
-28,6,346,347.713
13,3,414,414.412
7,1,16,16.3904
-8,1,451,450.002
-5,1,50,51.22
-10,2,20,20.3809
13,3,414,414.412
7,1,16,16.3904
-5,1,50,51.22
-10,2,20,20.3809
-8,1,451,450.002
29,7,35,37.0396
-20,4,106,106.888
29,7,35,37.0396
-20,4,106,106.888
7,1,28,28.6832
-21,5,772,754.554
-18,4,427,426.646
-23,5,183,184.382
-8,1,30,30.732
-12,2,28,28.5332
-8,1,20,20.488
7,1,28,28.6832
-21,5,772,754.554
-18,4,427,426.646
-23,5,183,184.382
-8,1,20,20.488
-8,1,30,30.732
-12,2,28,28.5332
-24,5,6,6.13872
17,4,1106,1046.1
-2,0,1094,1055.6
17,4,1106,1046.1
-2,0,1094,1055.6
28,6,411,411.829
15,3,155,156.261
1,0,93,94.7678
15,3,62,63.8294
26,6,30,31.9654
7,1,28,28.6832
-11,2,181,183.06
1,0,93,94.7678
26,6,30,31.9654
3,0,9,8.32431
7,1,28,28.6832
15,3,62,63.8294
15,3,155,156.261
28,6,411,411.829
-11,2,181,183.06
19,4,21,20.8022
-14,3,382,382.809
-6,1,232,233.192
19,4,21,20.8022
-6,1,232,233.192
-14,3,382,382.809
3,0,1491,1446.62
19,4,523,523.203
1,0,520,519.596
8,1,390,390.669
34,8,156,156.359
20,4,108,109.28
-2,0,1245,1202.25
-14,3,968,922.771
-11,2,130,130.959
-1,0,79,81.162
1,0,520,519.596
34,8,156,156.359
3,0,1491,1446.62
19,4,523,523.203
8,1,390,390.669
20,4,108,109.28
-1,0,79,81.162
-2,0,1245,1202.25
-14,3,968,922.771
-11,2,130,130.959
12,2,987,940.092
7,1,958,917.253
7,1,958,917.253
12,2,987,940.092
1,0,1394,1349.25
1,0,978,945.839
9,2,175,176.724
1,0,1394,1349.25
1,0,978,945.839
9,2,175,176.724
28,6,121,122.067
29,7,35,37.0396
-29,7,197,198.019
-10,2,149,149.863
-18,4,41,41.6043
29,7,35,37.0396
28,6,121,122.067
-29,7,197,198.019
-10,2,149,149.863
-18,4,41,41.6043
3,0,125,126.619
20,4,43,43.6845
13,3,40,41.1802
8,1,30,30.732
1,0,29,29.1351
15,3,10,10.2951
-6,1,133,134.01
-23,5,92,93.3615
-24,5,74,75.7109
-15,3,18,18.5311
1,0,29,29.1351
13,3,40,41.1802
3,0,125,126.619
15,3,10,10.2951
8,1,30,30.732
20,4,43,43.6845
-6,1,133,134.01
-15,3,18,18.5311
-23,5,92,93.3615
-24,5,74,75.7109
4,0,1908,1874.76
13,3,1877,1807.59
18,4,1687,1617.86
16,3,192,192.781
25,6,93,94.5118
11,2,85,87.6377
-12,2,52,52.9902
-20,4,41,41.6043
-1,0,37,37.4594
13,3,1877,1807.59
25,6,93,94.5118
18,4,1687,1617.86
11,2,70,71.333
11,2,85,87.6377
15,3,12,12.3541
4,0,1908,1874.76
16,3,192,192.781
28,6,60,62.1549
-1,0,37,37.4594
-12,2,52,52.9902
-20,4,41,41.6043
3,0,2069,2044.45
4,0,1823,1785.79
1,0,369,370.784
-25,6,790,780.228
-15,3,206,206.878
-3,0,124,125.495
-13,3,74,76.1834
-19,4,49,49.9252
-18,4,1,2.08022
1,0,369,370.784
3,0,2069,2044.45
4,0,1823,1785.79
-13,3,74,76.1834
-25,6,790,780.228
-18,4,1,2.08022
-3,0,124,125.495
-15,3,206,206.878
-19,4,49,49.9252
3,0,31,31.2162
-15,3,36,37.0622
3,0,31,31.2162
-15,3,36,37.0622
1,0,53,54.108
-19,4,27,27.0428
1,0,53,54.108
-19,4,27,27.0428
25,6,650,647.547
8,1,336,336.168
35,8,59,60.3491
-11,2,54,55.0283
25,6,650,647.547
35,8,59,60.3491
8,1,336,336.168
-11,2,54,55.0283
1,0,53,54.108
-25,6,211,211.351
-11,2,96,97.6904
-4,0,29,29.1351
-6,1,22,22.5368
-19,4,13,12.4813
-3,0,13,12.4865
1,0,53,54.108
-25,6,211,211.351
-6,1,22,22.5368
-3,0,13,12.4865
-11,2,96,97.6904
-19,4,13,12.4813
-4,0,29,29.1351
3,0,86,87.4052
-26,6,117,118.397
3,0,86,87.4052
-26,6,117,118.397
21,5,1286,1239.3
12,2,764,740.227
-3,0,1521,1476.88
21,5,1286,1239.3
12,2,764,740.227
-3,0,1521,1476.88
11,2,216,217.457
2,0,147,148.547
10,2,48,48.9141
32,7,31,32.7658
10,2,16,16.3047
-3,0,49,49.9458
-29,7,24,25.6428
-9,2,24,24.457
2,0,147,148.547
10,2,16,16.3047
10,2,48,48.9141
11,2,216,217.457
32,7,31,32.7658
-9,2,24,24.457
-29,7,24,25.6428
-3,0,49,49.9458
24,5,391,391.218
23,5,255,256.231
2,0,29,29.1351
2,0,29,29.1351
23,5,255,256.231
24,5,391,391.218
-3,0,19,18.7297
-3,0,19,18.7297
20,4,544,544.114
16,3,308,309.575
25,6,275,275.629
32,7,82,84.0514
7,1,89,90.1472
16,3,56,57.6523
-7,1,20,20.488
25,6,275,275.629
7,1,89,90.1472
32,7,82,84.0514
16,3,56,57.6523
16,3,308,309.575
20,4,544,544.114
-7,1,20,20.488
23,5,252,253.054
10,2,44,44.8379
1,0,39,39.5405
10,2,36,36.6856
5,1,14,14.3416
-25,6,338,339.005
