#eta,etabin,lut,func,funcInt
1,0,228,229.213,229
-25,6,228,228.113,228
-23,5,24,24.5549,24
1,0,228,229.213,229
-25,6,228,228.113,228
-23,5,24,24.5549,24
22,5,199,199.612,199
22,5,87,88.0887,88
28,6,30,31.9654,31
14,3,24,24.7081,24
-6,1,30,30.732,30
14,3,24,24.7081,24
22,5,199,199.612,199
22,5,87,88.0887,88
28,6,30,31.9654,31
-6,1,30,30.732,30
-8,1,190,190.942,190
-3,0,181,183.251,183
-3,0,181,183.251,183
-8,1,190,190.942,190
10,2,407,406.8,406
27,6,91,91.918,91
-15,3,262,263.661,263
-32,7,67,68.3808,68
-20,4,29,29.123,29
-13,3,28,28.8262,28
-4,0,17,16.6486,16
10,2,407,406.8,406
27,6,91,91.918,91
-13,3,28,28.8262,28
-15,3,262,263.661,263
-32,7,67,68.3808,68
-4,0,17,16.6486,16
-20,4,29,29.123,29
20,4,790,758.218,758
4,0,242,242.362,242
28,6,34,35.5171,35
-21,5,979,946.093,946
-6,1,195,196.142,196
-26,6,161,162.399,162
4,0,242,242.362,242
20,4,790,758.218,758
28,6,34,35.5171,35
-21,5,979,946.093,946
-6,1,195,196.142,196
-26,6,161,162.399,162
13,3,378,379.554,379
29,7,160,160.98,160
24,5,117,118.368,118
23,5,62,63.4334,63
7,1,50,51.22,51
-21,5,72,73.6646,73
-2,0,57,58.2702,58
-10,2,30,30.5713,30
13,3,378,379.554,379
29,7,160,160.98,160
7,1,50,51.22,51
23,5,62,63.4334,63
24,5,117,118.368,118
-21,5,72,73.6646,73
-2,0,57,58.2702,58
-10,2,30,30.5713,30
20,4,1840,1777.32,1777
3,0,1753,1713.62,1713
28,6,97,98.3696,98
6,1,26,26.6344,26
8,1,22,22.5368,22
-24,5,50,51.156,51
6,1,26,26.6344,26
3,0,1753,1713.62,1713
8,1,22,22.5368,22
20,4,1840,1777.32,1777
28,6,97,98.3696,98
-24,5,50,51.156,51
5,1,131,131.757,131
33,8,58,61.2578,61
16,3,76,78.2424,78
8,1,22,22.5368,22
5,1,131,131.757,131
8,1,22,22.5368,22
